"bse_scrip_name","nse_scrip_name","sector","company_name","bse_price","nse_price","bse_volume","nse_volume","sentimeter_score","market_cap_in_cr","pe","book_value","dividend_perc","market_lot","industry_pe","eps","pc","price_by_bookvalue","div_yield_perc","face_value","deliverables_perc","sma_30_50_150_200_bse","sma_30_50_150_200_bse",", master_url"
"538351 "," ","MISCELLANEOUS","A F Enterprises","65.90","NA","74","NA","NA","26.36","732.22","7.15","0.00%","1","23.87","0.09","659.00","9.22","-%","10.00",NA,"81.30, 99.55, 218.44, 282.42","81.30, 99.55, 218.44, 282.42","http://www.moneycontrol.com/india/stockpricequote/miscellaneous/afenterprises/AFE01"
"526985 "," ","FINANCE - LEASING & HIRE PURCHASE","A K S Credits","NA","NA","NA","NA","NA","0.00","-","","0.00%","1","-","-","-","-","-%","",NA,"","","http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/akscredits/AKS"
"539300 "," ","MISCELLANEOUS","A K Spintex","34.55","NA","100","NA","NA","17.38","22.01","20.63","0.00%","1","20.02","1.57","5.92","1.67","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/miscellaneous/akspintex/AKS01"
"532046 "," ","TEXTILES - SPINNING - COTTON BLENDED","A P T Yarns","NA","NA","NA","NA","NA","0.00","-","","","","-","-","-","-","-%","",NA,"","","http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/aptyarns/APT01"
"530499 "," ","FINANCE - GENERAL","A.K.Capital Services","215.70","NA","3,360","NA","NA","142.36","5.29","480.80","60.00%","1","23.87","40.78","4.91","0.45","2.78%","10.00",NA,"223.98, 226.24, 259.62, 252.18","223.98, 226.24, 259.62, 252.18","http://www.moneycontrol.com/india/stockpricequote/financegeneral/akcapitalservices/AKC01"
"533292 ","A2ZINFRA ","POWER - TRANSMISSION & EQUIPMENT","A2Z Infra Engineering ","27.45","27.45","114,989","365,465","83%","337.82","-","67.71","0.00%","1","29.05","-","-","0.41","-%","10.00",NA,"25.26, 24.67, 21.60, 20.41","25.26, 24.67, 21.60, 20.41","http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/a2zinfraengineering/AME02"
"513701 "," ","STEEL - MEDIUM & SMALL","Aachal Alloys","NA","NA","NA","NA","NA","0.00","-","","","","-","-","-","-","-%","",NA,"","","http://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/aachalalloys/AA"
"531611 "," ","MISCELLANEOUS","Aadhaar Ventures India","0.14","NA","36,002","NA","67%","21.99","-","2.34","0.00%","1","20.71","* -","-","0.06","-%","1.00",NA,"0.11, 0.13, 0.15","0.11, 0.13, 0.15","http://www.moneycontrol.com/india/stockpricequote/miscellaneous/aadhaarventuresindia/PI37"
"530027 "," ","FINANCE - LEASING & HIRE PURCHASE","Aadi Industries","2.31","NA","3","NA","NA","2.31","2.36","-6.05","0.00%","1","30.07","0.98","2.36","-","-%","10.00",NA,"2.83, 3.86, 0.00","2.83, 3.86, 0.00","http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/aadiindustries/AI63"
"531866 "," ","FINANCE - LEASING & HIRE PURCHASE","Aagam Capital","NA","NA","NA","NA","NA","0.00","-","4.17","0.00%","1","23.87","0.26","-","-","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/aagamcapital/PC18"
"522201 "," ","ENGINEERING","Aakar Engineering and Manufacturing Company","NA","NA","NA","NA","NA","0.00","-","-8.57","0.00%","1","29.05","* -","-","-","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/engineering/aakarengineeringmanufacturingcompany/AEM"
"505212 "," ","MACHINE TOOLS","Aamcol Tools","NA","NA","NA","NA","NA","0.00","-","27.16","0.00%","1","29.05","-","-","-","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/machinetools/aamcoltools/AT01"
"539096 "," ","TEXTILES - SPINNING - COTTON BLENDED","Aananda Lakshmi Spinning Mills","7.71","NA","26","NA","NA","2.70","-","20.48","0.00%","1","16.89","-","-","0.38","-%","10.00",NA,"10.41, 10.17, 0.00","10.41, 10.17, 0.00","http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/aanandalakshmispinningmills/ALS"
"538812 "," ","STEEL - SPONGE IRON","Aanchal Ispat","7.10","NA","12,000","NA","NA","14.81","-","18.80","","6000","6.02","* -","-","0.38","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/steelspongeiron/aanchalispat/AI36"
"523511 "," ","CERAMICS & GRANITE","Aankit Granites","NA","NA","NA","NA","NA","0.00","-","7.15","0.00%","100","15.77","-","-","-","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/aankitgranites/AGL"
"524412 "," ","PHARMACEUTICALS","Aarey Drugs and Pharmaceuticals","25.70","NA","94,775","NA","100%","43.21","33.38","21.06","0.00%","1","36.22","0.77","18.49","1.22","-%","10.00",NA,"22.11, 18.89, 15.49, 15.35","22.11, 18.89, 15.49, 15.35","http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aareydrugspharmaceuticals/ADP"
"524348 ","AARTIDRUGS ","PHARMACEUTICALS","Aarti Drugs","585.80","582.85","3,840","11,239","75%","1,418.64","19.13","125.41","80.00%","1","36.22","30.63","13.53","4.67","1.37%","10.00",NA,"564.22, 575.73, 620.41, 636.99","564.22, 575.73, 620.41, 636.99","http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aartidrugs/AD"
