"bse_scrip_name","nse_scrip_name","sector","company_name","bse_price","nse_price","bse_volume","nse_volume","sentimeter_score","market_cap_in_cr","pe","book_value","dividend_perc","market_lot","industry_pe","eps","pc","price_by_bookvalue","div_yield_perc","face_value","deliverables_perc","sma_30_50_150_200_bse","sma_30_50_150_200_nse","master_url"
"514189 ","KESWANISYN ","TEXTILES - PROCESSING","Sun Polytron Industries","NA","NA","NA","NA","NA","0.00","-","54.35","0.00%","1","20.02","* -","-","-","-%","10.00",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/textilesprocessing/sunpolytronindustries/KS06"
"517403 "," ","POWER - GENERATION & DISTRIBUTION","Sun Source (India)","1.34","NA","600","NA","100%","1.93","-","12.30","0.00%","1","11.40","* -","-","0.11","-%","10.00",NA,"1.39, 1.66, 2.36, 0.00",", , , ","http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/sunsourceindia/SSI07"
"524536 "," ","CHEMICALS","Sun Star Chemicals","NA","NA","NA","NA","NA","0.00","-","","","","-","-","-","-","-%","",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/chemicals/sunstarchemicals/SSC04"
"531752 "," ","MISCELLANEOUS","Sun Techno Overseas","0.24","NA","1","NA","NA","15.66","-","0.93","0.00%","1","23.87","* -","-","0.26","-%","1.00",NA,"0.26, 0.24, 0.25, 0.00",", , , ","http://www.moneycontrol.com/india/stockpricequote/miscellaneous/suntechnooverseas/WO"
"532733 ","SUNTV ","MEDIA & ENTERTAINMENT","Sun TV Network","400.00","400.00","61,171","1,015,301","100%","15,763.38","18.93","85.76","225.00%","1","45.38","21.13","11.10","4.66","2.81%","5.00",NA,"378.96, 369.89, 341.98, 360.44","379.24, 370.08, 342.05, 360.52","http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/suntvnetwork/STN01"
"530763 "," ","FINANCE - INVESTMENTS","Sunbright Stock Broking","NA","NA","NA","NA","NA","0.00","-","4.92","0.00%","1","23.87","0.02","-","-","-%","5.00",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/financeinvestments/sunbrightstockbroking/BSB"
"530795 "," ","TEXTILES - PROCESSING","Suncity Synthetics","NA","NA","NA","NA","NA","0.00","-","17.94","0.00%","1","10.72","0.59","-","-","-%","10.00",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/textilesprocessing/suncitysynthetics/SS43"
"590072 ","SUNDRMBRAK ","AUTO ANCILLARIES","Sundaram Brake Linings","289.00","288.60","358","2,264","NA","113.71","-","177.55","0.00%","1","31.53","-","-","1.63","-%","10.00",NA,"248.02, 240.92, 265.25, 287.40","248.52, 240.88, 264.42, 286.27","http://www.moneycontrol.com/india/stockpricequote/autoancillaries/sundarambrakelinings/SBL"
"590071 ","SUNDARMFIN ","FINANCE - LEASING & HIRE PURCHASE","Sundaram Finance","1445.25","1450.65","1,150","203,144","100%","16,059.89","35.33","268.00","105.00%","1","23.87","40.91","29.42","5.39","0.73%","10.00",NA,"1499.16, 1489.51, 1510.22, 1516.76","1500.66, 1490.74, 1511.77, 1518.23","http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/sundaramfinance/SF20"
"533166 ","SUNDARAM ","PRINTING & STATIONERY","Sundaram Multi Pap","2.27","2.25","552,466","685,091","100%","48.94","-","5.23","0.00%","1","18.34","-","-","0.43","-%","1.00",NA,"1.92, 1.99, 2.32, 2.44","1.91, 1.98, 2.31, 2.42","http://www.moneycontrol.com/india/stockpricequote/printingstationery/sundarammultipap/SMP02"
"520056 ","SUNCLAYLTD ","AUTO ANCILLARIES","Sundaram-Clayton","2200.00","2188.65","91","1,255","100%","4,451.06","50.54","185.15","380.00%","1","31.53","43.53","30.10","11.88","0.86%","5.00",NA,"1858.25, 1853.72, 1884.27, 1869.69","1860.55, 1854.69, 1893.09, 1871.68","http://www.moneycontrol.com/india/stockpricequote/autoancillaries/sundaramclayton/SC"
"530425 "," ","TEXTILES - SYNTHETIC & SILK","Sunday Exports","NA","NA","NA","NA","NA","0.00","-","12.24","0.00%","1","19.86","-","-","-","-%","10.00",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/textilessyntheticsilk/sundayexports/SE11"
"500403 ","SUNDRMFAST ","FASTENERS","Sundram Fasteners","158.55","159.30","5,937","35,569","NA","3,331.59","23.77","40.88","175.00%","1","39.91","6.67","14.59","3.88","1.10%","1.00",NA,"159.26, 158.50, 164.90, 169.55","159.29, 158.52, 164.93, 169.62","http://www.moneycontrol.com/india/stockpricequote/fasteners/sundramfasteners/SF23"
"500404 ","SUNFLAG ","STEEL - ROLLING","Sunflag Iron and Steel Company","22.35","22.25","46,027","182,427","75%","402.79","6.75","32.38","0.00%","1","10.60","3.31","3.63","0.69","-%","10.00",NA,"19.80, 19.48, 19.29, 20.72","19.77, 19.47, 19.28, 20.71","http://www.moneycontrol.com/india/stockpricequote/steelrolling/sunflagironsteelcompany/SIS05"
"505541 "," ","FINANCE - INVESTMENTS","Sunflex Finance & Investments","NA","NA","NA","NA","NA","0.00","-","","","","-","-","-","-","-%","",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/financeinvestments/sunflexfinanceinvestments/SFI01"
"530229 "," ","MINING & MINERALS","Sunflow Metals","NA","NA","NA","NA","NA","0.00","-","","","","-","-","-","-","-%","",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/miningminerals/sunflowmetals/SM07"
"531433 "," ","FINANCE - LEASING & HIRE PURCHASE","Sungold Capital","1.37","NA","7,000","NA","NA","2.52","22.83","11.89","0.00%","1","23.87","0.06","19.57","0.12","-%","10.00",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/sungoldcapital/MTF"
"530953 "," ","MISCELLANEOUS","Sunil Agro Foods","22.45","NA","10,411","NA","NA","6.74","9.43","37.87","5.00%","1","48.30","2.38","3.98","0.59","2.23%","10.00",NA,"21.35, 21.66, 0.00",", , , ","http://www.moneycontrol.com/india/stockpricequote/miscellaneous/sunilagrofoods/SAF01"
"537253 "," ","PHARMACEUTICALS","Sunil Healthcare","80.00","NA","4,496","NA","NA","82.04","17.28","25.23","0.00%","1","18.25","4.63","9.37","3.17","-%","10.00",NA,"81.73, 77.35, 55.60, 51.64",", , , ","http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/sunilhealthcare/SH13"
"532711 ","SUNILHITEC ","POWER - TRANSMISSION & EQUIPMENT","Sunil Hitech Engineers","310.20","309.75","16,491","53,482","67%","531.22","12.36","209.77","18.00%","1","21.57","25.09","7.72","1.48","0.58%","10.00",NA,"284.85, 273.25, 250.12, 225.85","284.82, 273.24, 250.18, 225.91","http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/sunilhitechengineers/SHE"
"521232 "," ","TEXTILES - PROCESSING","Sunil Industries","28.45","NA","200","NA","NA","11.95","5.26","68.84","0.00%","100","20.02","5.41","3.47","0.41","-%","10.00",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/textilesprocessing/sunilindustries/SI46"
"531945 "," ","TRADING","Sunitee Chemicals","0.14","NA","3,800","NA","NA","0.73","-","0.85","0.00%","1","20.71","-","-","0.16","-%","1.00",NA,"0.12, 0.15, 0.18, 0.00",", , , ","http://www.moneycontrol.com/india/stockpricequote/trading/suniteechemicals/SC43"
"512357 "," ","PACKAGING","Suniti Commercials","NA","NA","NA","NA","NA","0.00","-","125.15","0.00%","100","24.23","-","-","-","-%","10.00",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/packaging/suniticommercials/SCL02"
"520117 "," ","AUTO - 2 & 3 WHEELERS","Sunku Auto","NA","NA","NA","NA","NA","0.00","-","20.82","0.00%","1","25.01","-","-","-","-%","10.00",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/sunkuauto/SA08"
"531295 "," ","HOTELS","Sunlake Resorts and Hotels","0.62","NA","1,000","NA","NA","0.50","-","6.74","0.00%","100","43.68","-","-","0.09","-%","10.00",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/hotels/sunlakeresortshotels/RRH"
"523425 "," ","DIAMOND CUTTING & JEWELLERY & PRECIOUS METALS","Sunraj Diamond Exports","3.99","NA","185","NA","NA","2.13","-","15.10","0.00%","1","36.60","-","-","0.26","-%","10.00",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/sunrajdiamondexports/SDE01"
"506615 "," ","DOMESTIC APPLIANCES","Sunrise Asian","62.20","NA","162","NA","NA","284.02","444.29","17.35","0.00%","1","20.71","0.14","444.29","3.59","-%","10.00",NA,"67.12, 80.96, 356.42, 407.74",", , , ","http://www.moneycontrol.com/india/stockpricequote/domesticappliances/sunriseasian/AA12"
"501110 "," ","TRADING","Sunrise Inv. Tra.","NA","NA","NA","NA","NA","0.00","-","1052.02","0.00%","50","23.87","71.39","-","-","-%","10.00",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/trading/sunriseinvtra/SIT"
"530935 "," ","EDIBLE OILS & SOLVENT EXTRACTION","Sunrise Oleochemicals","NA","NA","NA","NA","NA","0.00","-","","","","-","-","-","-","-%","",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/sunriseoleochemicals/SOL03"
"531345 "," ","METALS - NON FERROUS","Sunrise Zinc","NA","NA","NA","NA","NA","0.00","-","-15.23","0.00%","100","7.32","1.35","-","-","-%","10.00",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/sunrisezinc/SZ"
"530845 "," ","CHEMICALS","Sunshield Chemicals","416.00","NA","4,887","NA","NA","305.89","-","24.00","0.00%","1","46.88","-","361.74","17.33","-%","10.00",NA,"480.45, 491.29, 456.70, 424.45",", , , ","http://www.moneycontrol.com/india/stockpricequote/chemicals/sunshieldchemicals/SC28"
"524452 ","SUNSTARLUB ","LUBRICANTS","Sunstar Lubricants","NA","NA","NA","NA","NA","0.00","-","-30.54","0.00%","1","21.87","* -","-","-","-%","10.00",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/lubricants/sunstarlubricants/SL07"
