^CNXAUTO
^CNXDIVOP
^CNXIT
^INDIAVIX
$AUTPA42.BO
$BURRB51.BO
100034.BO
100038.BO
100041.BO
100043.BO
100048.BO
100065.BO
100066.BO
100068.BO
100080.BO
100172.BO
100173.BO
100176.BO
100177.BO
100261.BO
100263.BO
100301.BO
100312.BO
100325.BO
100349.BO
100352.BO
100359.BO
100364.BO
100371.BO
100416.BO
100474.BO
100475.BO
100496.BO
100525.BO
100527.BO
100528.BO
100529.BO
100532.BO
100536.BO
100537.BO
100541.BO
100550.BO
100611.BO
100631.BO
100638.BO
100639.BO
100644.BO
100651.BO
100685.BO
100723.BO
100725.BO
100782.BO
100786.BO
100788.BO
100789.BO
100807.BO
100813.BO
100822.BO
100833.BO
100953.BO
100997.BO
100998.BO
101069.BO
101098.BO
101143.BO
101155.BO
101161.BO
101162.BO
101163.BO
101186.BO
101201.BO
101206.BO
101209.BO
101221.BO
101224.BO
101228.BO
101237.BO
101295.BO
101351.BO
101356.BO
101419.BO
101483.BO
101491.BO
101560.BO
101593.BO
101605.BO
101609.BO
101629.BO
101635.BO
101636.BO
101643.BO
101703.BO
101706.BO
101721.BO
101758.BO
101763.BO
101795.BO
101798.BO
101800.BO
101824.BO
101833.BO
101837.BO
101838.BO
101839.BO
101859.BO
101872.BO
101906.BO
101912.BO
101922.BO
101923.BO
102009.BO
102013.BO
102055.BO
102107.BO
102118.BO
102134.BO
102138.BO
102143.BO
102186.BO
102187.BO
102193.BO
102194.BO
102195.BO
102196.BO
102204.BO
102252.BO
102266.BO
102273.BO
102394.BO
102397.BO
102398.BO
102401.BO
102402.BO
102414.BO
102428.BO
102452.BO
102509.BO
102512.BO
102534.BO
102535.BO
102536.BO
102540.BO
102544.BO
102573.BO
102574.BO
102729.BO
102741.BO
102751.BO
102752.BO
102765.BO
102829.BO
102846.BO
102848.BO
102920.BO
103039.BO
103085.BO
103086.BO
103097.BO
103151.BO
103165.BO
103173.BO
103174.BO
103184.BO
103211.BO
103225.BO
103227.BO
103228.BO
103313.BO
103349.BO
103407.BO
103457.BO
103464.BO
103475.BO
103490.BO
103678.BO
103679.BO
103747.BO
103748.BO
103749.BO
103780.BO
103820.BO
104174.BO
104175.BO
104342.BO
104345.BO
104349.BO
104350.BO
104352.BO
104457.BO
104482.BO
104513.BO
104637.BO
104681.BO
104683.BO
104684.BO
104685.BO
104686.BO
104707.BO
104722.BO
104723.BO
104724.BO
104725.BO
104726.BO
104728.BO
104729.BO
105001.BO
105024.BO
105025.BO
105227.BO
105461.BO
105546.BO
105547.BO
105548.BO
105549.BO
105550.BO
105551.BO
105552.BO
105556.BO
105557.BO
105558.BO
105559.BO
105561.BO
105562.BO
105563.BO
105566.BO
105582.BO
105583.BO
105658.BO
105672.BO
105758.BO
105872.BO
105875.BO
105876.BO
105878.BO
105973.BO
105974.BO
106170.BO
106174.BO
106179.BO
106214.BO
106215.BO
106216.BO
106221.BO
106232.BO
106253.BO
106316.BO
106324.BO
106425.BO
106442.BO
106501.BO
106521.BO
106534.BO
106624.BO
106667.BO
106668.BO
106793.BO
106795.BO
106796.BO
106797.BO
106823.BO
106872.BO
106873.BO
106875.BO
106876.BO
106892.BO
106979.BO
106980.BO
107015.BO
107247.BO
107248.BO
107250.BO
107251.BO
107252.BO
107339.BO
107341.BO
107380.BO
107405.BO
107408.BO
107524.BO
107695.BO
107697.BO
107698.BO
107700.BO
107701.BO
107702.BO
107704.BO
107705.BO
107821.BO
107822.BO
107823.BO
107989.BO
108169.BO
108196.BO
108202.BO
108203.BO
108272.BO
108273.BO
108465.BO
108466.BO
108545.BO
108558.BO
108592.BO
108593.BO
108595.BO
108596.BO
108597.BO
108607.BO
108632.BO
108634.BO
108643.BO
108646.BO
108661.BO
108663.BO
108679.BO
108701.BO
108731.BO
108732.BO
108733.BO
108734.BO
108735.BO
108738.BO
108753.BO
108756.BO
108764.BO
108767.BO
108799.BO
108844.BO
108845.BO
108909.BO
108992.BO
109058.BO
109061.BO
109129.BO
109130.BO
109138.BO
109175.BO
109176.BO
109183.BO
109213.BO
109254.BO
109269.BO
109275.BO
109300.BO
109301.BO
109302.BO
109303.BO
109372.BO
109574.BO
109575.BO
109576.BO
109696.BO
109716.BO
109740.BO
109742.BO
109743.BO
109744.BO
109830.BO
109935.BO
109937.BO
109939.BO
109940.BO
109942.BO
109946.BO
109949.BO
109950.BO
109951.BO
109952.BO
109954.BO
109955.BO
109956.BO
109957.BO
109958.BO
110072.BO
110150.BO
110282.BO
110286.BO
110287.BO
110490.BO
110598.BO
110599.BO
110603.BO
110604.BO
110606.BO
110607.BO
111348.BO
111441.BO
111443.BO
111445.BO
111446.BO
111570.BO
111590.BO
111602.BO
111638.BO
111645.BO
111646.BO
111647.BO
111709.BO
111712.BO
111715.BO
111716.BO
111717.BO
111718.BO
111722.BO
111780.BO
111788.BO
111804.BO
111861.BO
111862.BO
111863.BO
111864.BO
111865.BO
111903.BO
111918.BO
111919.BO
111920.BO
111936.BO
111937.BO
111938.BO
111939.BO
111942.BO
111976.BO
111978.BO
111980.BO
111985.BO
111987.BO
111988.BO
112012.BO
112013.BO
112025.BO
112027.BO
112029.BO
112031.BO
112033.BO
112038.BO
112053.BO
112056.BO
112058.BO
112067.BO
112077.BO
112082.BO
112088.BO
112108.BO
112109.BO
112117.BO
112122.BO
112123.BO
112125.BO
112126.BO
112127.BO
112148.BO
112171.BO
112173.BO
112214.BO
112217.BO
112225.BO
112295.BO
112329.BO
112330.BO
112332.BO
112356.BO
112366.BO
112368.BO
112368BO.BO
112387.BO
112408.BO
112410.BO
112414.BO
112422.BO
112425.BO
112461.BO
112628.BO
112632.BO
112636.BO
112648.BO
112649.BO
112713.BO
112714.BO
112715.BO
112718.BO
112789.BO
112853.BO
112854.BO
112869.BO
112870.BO
112925.BO
112926.BO
112927.BO
112931.BO
112944.BO
113065.BO
113069.BO
113069BO.BO
113073.BO
113101.BO
113169.BO
113218.BO
113248.BO
113269.BO
113294.BO
113295.BO
113300.BO
113327.BO
113328.BO
113356.BO
113360.BO
113464.BO
113545.BO
114100.BO
114297.BO
114301.BO
114310.BO
114359.BO
114360.BO
114361.BO
114383.BO
114384.BO
114456.BO
114456BO.BO
114530.BO
114683.BO
114854.BO
114930.BO
114965.BO
114970.BO
114984.BO
114984BO.BO
115069.BO
115077.BO
115092.BO
115127.BO
115127BO.BO
115241.BO
115242.BO
115243.BO
115284.BO
115290.BO
115398.BO
115399.BO
115401.BO
115458.BO
115483.BO
115505.BO
115510.BO
115511.BO
115512.BO
115515.BO
115616.BO
115631.BO
115728BO.BO
115731BO.BO
115744BO.BO
115747BO.BO
115750.BO
115750BO.BO
115751.BO
115751BO.BO
115755.BO
115788.BO
115833.BO
115882.BO
115883.BO
115887.BO
116020.BO
116051.BO
116109.BO
116153.BO
116154.BO
116174.BO
116297.BO
116298.BO
116360.BO
116373.BO
116374.BO
116381.BO
116382.BO
116386.BO
116424.BO
116425.BO
116472.BO
116556.BO
116582.BO
116610.BO
116632.BO
116633.BO
116913.BO
117061.BO
117062.BO
117076.BO
117076BO.BO
117280.BO
117282.BO
117284.BO
117311.BO
117412.BO
117447.BO
117620.BO
117691.BO
117692.BO
117718.BO
117719.BO
117751.BO
117836.BO
117839.BO
117867.BO
117906.BO
117940.BO
117941.BO
117955.BO
117956.BO
117982.BO
117992.BO
117993.BO
117998.BO
118030.BO
118043.BO
118044.BO
118068.BO
118106.BO
118191.BO
118193.BO
118194.BO
118267.BO
118268.BO
118275.BO
118285.BO
118297.BO
118317.BO
118318.BO
118321.BO
118380.BO
118384.BO
118385.BO
118396.BO
118410.BO
118412.BO
118415.BO
118419.BO
118420.BO
118421.BO
118422.BO
118423.BO
118424.BO
118429.BO
118447.BO
118464.BO
118467.BO
118468.BO
118472.BO
118473.BO
118474.BO
118480.BO
118481.BO
118484.BO
118485.BO
118487.BO
118489.BO
118495.BO
118510.BO
118526.BO
118530.BO
118535.BO
118538.BO
118550.BO
118551.BO
118552.BO
118553.BO
118554.BO
118558.BO
118559.BO
118561.BO
118562.BO
118570.BO
118578.BO
118581.BO
118587.BO
118600.BO
118614.BO
118615.BO
118616.BO
118617.BO
118624.BO
118625.BO
118631.BO
118636.BO
118637.BO
118638.BO
118639.BO
118644.BO
118646.BO
118648.BO
118649.BO
118650.BO
118669.BO
118680.BO
118684.BO
118712.BO
118725.BO
118736.BO
118738.BO
118743.BO
118782.BO
118822.BO
118825.BO
118831.BO
118832.BO
118834.BO
118835.BO
118837.BO
118840.BO
118842.BO
118844.BO
118850.BO
118876.BO
118877.BO
118880.BO
118885.BO
118894.BO
118896.BO
118928.BO
118929.BO
118930.BO
118936.BO
118937.BO
118938.BO
118940.BO
118942.BO
118943.BO
118944.BO
118945.BO
118951.BO
118953.BO
118954.BO
118955.BO
118957.BO
118958.BO
118964.BO
118966.BO
118967.BO
118972.BO
118988.BO
118989.BO
118997.BO
119016.BO
119021.BO
119024.BO
119027.BO
119028.BO
119039.BO
119041.BO
119042.BO
119043.BO
119044.BO
119047.BO
119048.BO
119049.BO
119052.BO
119064.BO
119072.BO
119074.BO
119076.BO
119077.BO
119084.BO
119086.BO
119087.BO
119135.BO
119143.BO
119144.BO
119147.BO
119150.BO
119151.BO
119154.BO
119159.BO
119174.BO
119183.BO
119184.BO
119188.BO
119201.BO
119202.BO
119208.BO
119214.BO
119218.BO
119219.BO
119232.BO
119252.BO
119253.BO
119271.BO
119275.BO
119276.BO
119287.BO
119292.BO
119293.BO
119296.BO
119297.BO
119300.BO
119301.BO
119302.BO
119303.BO
119304.BO
119305.BO
119306.BO
119307.BO
119310.BO
119318.BO
119319.BO
119320.BO
119321.BO
119322.BO
119327.BO
119328.BO
119343.BO
119346.BO
119349.BO
119352.BO
119363.BO
119365.BO
